text,label,language
احتلام,insult,ar
اغتصاب,insult,ar
بز,insult,ar
بزاز,insult,ar
بظر,insult,ar
بيضان,insult,ar
تمص,insult,ar
ثدي,insult,ar
جماع,insult,ar
حلمة,insult,ar
خنثي,insult,ar
خول,insult,ar
زب,insult,ar
سحاق,insult,ar
سحاقية,insult,ar
سكس,insult,ar
شاذ,insult,ar
شرج,insult,ar
شرموطة,insult,ar
شهوة,insult,ar
طيز,insult,ar
عاهرة,insult,ar
عرص,insult,ar
فرج,insult,ar
قحبة,insult,ar
قضيب,insult,ar
كس,insult,ar
لبوة,insult,ar
لحس,insult,ar
لعق,insult,ar
لواط,insult,ar
لوطي,insult,ar
مبادل,insult,ar
متناك,insult,ar
متناكة,insult,ar
مص,insult,ar
مفلقسة,insult,ar
نيك,insult,ar
bordel,insult,cs
buzna,insult,cs
chcanky,insult,cs
chuj,insult,cs
debil,insult,cs
do piče,insult,cs
do prdele,insult,cs
dršťka,insult,cs
držka,insult,cs
flundra,insult,cs
hajzl,insult,cs
hovno,insult,cs
jebat,insult,cs
kokot,insult,cs
kokotina,insult,cs
koňomrd,insult,cs
kunda,insult,cs
kurva,insult,cs
mamrd,insult,cs
mrdat,insult,cs
mrdka,insult,cs
mrdník,insult,cs
oslošoust,insult,cs
pizda,insult,cs
piča,insult,cs
prcat,insult,cs
prdel,insult,cs
prdelka,insult,cs
píchat,insult,cs
píčus,insult,cs
sračka,insult,cs
srát,insult,cs
vypíčenec,insult,cs
zkurvit,insult,cs
zkurvysyn,insult,cs
zmrd,insult,cs
čumět,insult,cs
čurák,insult,cs
šoustat,insult,cs
šulin,insult,cs
žrát,insult,cs
anus,insult,da
bøsserøv,insult,da
cock,insult,da
fisse,insult,da
fissehår,insult,da
fuck,insult,da
hestepik,insult,da
kussekryller,insult,da
lort,insult,da
luder,insult,da
pik,insult,da
pikhår,insult,da
pikslugeri,insult,da
piksutteri,insult,da
pis,insult,da
røv,insult,da
røvhul,insult,da
røvskæg,insult,da
røvspræke,insult,da
shit,insult,da
MILF,insult,de
analritter,insult,de
arsch,insult,de
arschficker,insult,de
arschgeige,insult,de
arschgesicht,insult,de
arschkriecher,insult,de
arschlecker,insult,de
arschloch,insult,de
bauerntrampel,insult,de
bimbo,insult,de
bonze,insult,de
bratze,insult,de
